"ArtistID","ArtistName","SoundCloudFollowers","SpotifyListenerFollowerRatio","SpotifyMonthlyListeners","SpotifyPopularity","YoutubeChannelViews"
"3980174","Clouds & Castles",,"1363.663636364","150003","40",
"154783","Slowly Slowly","297","7.652823836","150003","48","726349"
"911681","Veil","13235","85.23125","150007","41",
"285206","Hedonutopia",,"5.719754452","150012","49",
"1743842","DJ SILVA","170","35.633254157","150016","46",
"476044","Sandie Shaw",,"2.74068323","150025","43",
"4181324","Kurtuluş Kuş",,"164.871428571","150033","48",
"308928","Moleca 100 Vergonha","305","1.173681782","150047","44","62465038"
"814447","Alan Ramirez",,"14.152975573","150064","44","74497038"
"214085","Kary Ng",,"2.525351283","150069","49",
"206927","Kiko Zambianchi",,"2.175732885","150069","53","875630"
"370102","DJ Drewski",,"146.555664062","150073","46",
"61855","Young L3x","60","5.639622712","150076","44","4792186"
"264463","Lia Clark","836","0.596726865","150078","46","57083054"
"178486","Colette","2025","28.521284683","150079","42","108580"
"742887","Junichi Inagaki",,"3.210769527","150081","47","640194"
"1707627","Maestro","25098","5.322469679","150083","48","7654962"
"287949","Attila Fias",,"80.865301724","150086","49",
"430505","Mike Rizzo",,"761.85786802","150086","35","169712"
"220636","Wise",,"133.659839715","150100","43",
"718127","Ne Jupiter",,"1.397337554","150102","46","5183386"
"34426","Nosferatu","19075","5.571073337","150107","47","495850"
"3511514","Sarah Bowman",,"811.389189189","150107","45",
"458128","Engin Nursani",,"3.406889666","150128","51",
"184879","Louis Chedid",,"14.897311241","150150","44","5097178"
"133958","Papadosio","41071","1.955689855","150152","46","5375232"
"1036525","Grupo Zúmbale Primo","282","6.544099704","150174","51",
"250","Big Bad Voodoo Daddy",,"1.469140392","150177","48","32044890"
"3261","Ruben de Ronde","27452","5.550484145","150185","45","815776"
"645448","Banda Rio-Ipanema",,"130.26452732","150195","54",
"209025","Izumi Tanaka","3","23.527412281","150199","46","8463"
"1654653","Faudoa",,"94.28876334","150202","48",
"775891","Ka-Re",,"5.989633587","150226","45",
"476662","Percy Faith","2","5.025625585","150226","46","4918663"
"314108","Lo Air","7662","9.171428571","150228","44",
"822746","Amy Turk",,"23.433317735","150231","47","23734793"
"925203","LockeNumma19",,"22.622346032","150235","48",
"182637","Igorrr","302","1.259038265","150236","50","25192444"
"208411","Black Milk","118","1.634770024","150237","45","2169235"
"493663","Wynne","10563","6.475433152","150243","43",
"112006","Ensemble Matheus",,"86.447640967","150246","45",
"430498","Bergen Philharmonic Orchestra",,"39.623417722","150252","50","9769"
"439312","Uyama Hiroto","4","2.966694964","150272","51",
"33203","Geeta Dutt",,"0.5243461635","150286","45","1278036"
"41244","Susannah McCorkle",,"7.750103135","150290","43","122150"
"763611","Gerald Ko",,"149.249255214","150294","41",
"196527","Amp Live","15170","15.563056533","150308","43","563035"
"37108","Randy Rogers",,"1.675368102","150309","46","54621140"
"857181","KYANU","2847","58.670179547","150313","46",
"235852","Rayos Láser","1378","6.680072882","150315","47","7861922"
"3522111","Morunas",,"175.609813084","150322","49",
"883","Ronan Hardiman","78","8.459707372","150329","52","2227556"
"46304","Take Me To Your Best Friends House",,"44.059495897","150331","43",
"455116","Sophie Faith","835","23.493045788","150332","45","32717"
"1443","Paddy Reilly",,"5.82411963","150338","46",
"840271","iLLEOo","347","1.794804451","150340","55",
"478076","Neljä Ruusua","14","5.158763382","150347","47","4846722"
"100032","Chon Arauza Y Su Furia Colombiana","211","6.381764931","150348","44","3223641"
"171340","ByeAlex és a Slepp","873","2.565129132","150373","53",
"201644","Chico Che y La Crisis","130","2.814481416","150389","43","0"
"1608325","Clear Mortifee","1725","70.772705882","150392","43","25849"
"94445","Matt DiMona","46356","11.475583702","150399","43",
"480709","Waterflame","15197","2.472229071","150403","49","122831570"
"727555","Cymo",,"177.364386792","150405","43","751770"
"103815","Lydia","207","2.288350652","150411","48","161382717"
"251266","Arjun Janya",,"1.524039192","150412","35",
"3559376","Liderj",,"34.372486289","150414","48",
"1130476","DJ Durel","3141","28.412542501","150416","44",
"3904103","ASTO",,"25.516030534","150417","45",
"408829","Alex Ceesay",,"8.347780244","150427","56","17605249"
"209287","Civil Twilight","4074175","1.803219736","150430","44","8205088"
"2392","Ana Moura","609","1.353697605","150431","49","47842085"
"643848","Next Town Down","6630","4.926770158","150434","42","14114158"
"21099","Henk Wijngaard",,"5.740117521","150437","52",
"631361","Purple Tulips",,"254.981355932","150439","49",
"268006","Mostly Mozart Orchestra",,"211.29494382","150442","41",
"1351043","Chaze Sharp","721","27.808502773","150444","50",
"3999960","Elvira Sand",,"3343.6","150462","42",
"3956315","Kung Vladimir",,"143.714422159","150469","47",
"27971","Alex M.","6211","33.775757576","150471","43",
"715091","Kana Adachi","19","1.901415214","150478","47","32765413"
"7078","Dry Kill Logic","181","1.791960373","150496","46",
"543683","Ellie Williams",,"23.858750793","150501","45","13670"
"717074","David Cava",,"371.607407407","150501","41",
"477991","Liz Stewart",,"2951.058823529","150504","40",
"179044","Toco",,"11.621959694","150516","45","8871842"
"718733","Marco Calone",,"2.506928253","150526","52","5045109"
"100088","Ivo Pogorelich",,"9.802552748","150528","45",
"3563972","Margaridas",,"503.45819398","150534","42",
"482344","Gat Decor",,"27.221338156","150534","41","124"
"491360","Jovelina Perola Negra","284","3.723072738","150535","44",
"217047","Gauvain Sers","129","3.068323108","150535","48","27327017"
"575797","Flying Steps",,"66.024561404","150536","41",
"783563","STRLGHT",,"55.941657376","150539","46",
"32380","Danny Chan",,"1.619777713","150547","50","500390"
"430611","MC Rafa Original","94","2.380042362","150571","48",
"66260","Christian Cambas","17658","37.680930931","150573","43",
"283163","Watussi",,"6.627420775","150575","46",
"69276","Sabo","31514","12.369999179","150580","43",
"120234","José El Francés",,"11.845984425","150598","43",
"1478393","The Recording Arts Orchestra of Los Angeles",,"517.567010309","150612","48",
"601787","Mozby",,"134","150616","49",
"4181410","Zero",,"801.154255319","150617","44",
"799985","Kingo Hamada","120","13.0404329","150617","46",
"745572","Rod 3030","514","74.453287197","150619","44",
"3901083","Bromage",,"2842.075471698","150630","40",
"330698","Funky Marys","10","27.482393724","150631","44","2780296"
"360934","Rfen",,"132.366432337","150633","44",
"437085","Jean-Christophe Spinosi","5","41.476596916","150643","46","102710"
"429394","Juaninacka",,"2.678918823","150649","49","6678580"
"545729","Deine Freunde","113","3.069328715","150658","52","19528900"
"3981210","slow//reverb",,"487.569579288","150659","47",
"1010664","Joanna Jones",,"70.108422522","150663","54",
"8776","Troglauer Buam",,"6.0316666","150665","45","19305006"
"361535","Sweet William","17770","4.878764329","150666","49",
"216651","Pharoah Sanders",,"2.170647727","150669","47",
"735480","Joe Armon-Jones","1417","5.454693552","150675","45",
"660440","Øfdream",,"8.37228427","150676","48",
"3604463","Brière",,"25113.166666667","150679","39",
"1367945","Power Peralta","53","7.207002104","150684","46","36873566"
"589513","Ashley Serena","708","11.595106187","150690","48",
"868480","Rotem Cohen",,"1.169824943","150691","49","135120448"
"296432","TWIIG","31335","11.142994455","150709","42","3448"
"463443","The Next Step","5378","1.928916989","150714","55","555886148"
"141908","Municipal Waste",,"0.8867023185","150719","49","3339971"
"217422","Gnarly Gibbs",,"60.337870296","150724","44",
"4073733","Candy Kid",,"3425.590909091","150726","42",
"720329","Q Da Fool","2124","4.158954833","150733","55","11140336"
"921681","Roland Faunte","1314","8.902492322","150737","48",
"78730","Jolina Magdangal",,"0.8989385175","150743","45",
"855442","Koi","12202","8.506461261","150743","52",
"1359339","季彦霖",,"12.669047819","150749","47",
"3704080","Brent",,"29.255385212","150753","45",
"404576","Dotlights",,"167.706340378","150768","45",
"210360","Jonathan Johansson",,"3.042232491","150770","47",
"1030415","Sace",,"74.092874693","150779","46",
"4208189","The Wellermen",,"34.124009957","150794","49",
"734421","MIKE","16537","3.319669785","150796","49","2988567"
"719110","Los Machos de la Cumbia",,"4.169625083","150807","51",
"715336","Jevon","5616","12.973761184","150807","47","2792280"
"159745","Aryeh Frankfurter",,"65.68510453","150813","47","616985"
"1657061","Spitfire",,"13.883457608","150816","42",
"288074","Gideon",,"2.108532442","150817","48",
"1417935","Crystal Murray",,"15.957888054","150818","43",
"544497","Jahn Teigen",,"6.354638915","150821","47",
"3427541","Habitanto",,"405.451612903","150828","43",
"297118","Pedra Leticia","2019","0.7547862812","150838","49","19237866"
"883029","IAMPAUL",,"267.925399645","150842","45",
"494821","Sunny Day Service","523","1.852124695","150850","47","417639"
"484747","Gordon & Doyle",,"180.65988024","150851","44",
"67989","Truslow",,"13.424757498","150854","46","806655"
"3614255","Massane",,"36.236848427","150854","45",
"398732","Beauville","2591","24.362887597","150855","42",
"1718919","Harper Pepe",,"789.87434555","150866","45",
"711943","Yomo",,"578.095785441","150883","41",
"639741","Raymon Hermans","386","14.962915221","150901","47",
"433150","Orchestre de l'Opéra Bastille",,"287.472380952","150923","46",
"1496","Lior Narkis",,"1.760108225","150924","49","181284085"
"154308","Mighty Diamonds","389","2.632445537","150926","44","967911"
"270444","Yung Fume","4632","3.798650961","150928","52","5735753"
"782537","Fern.",,"4.130000547","150935","46","207318"
"1747233","Aka 7even",,"15.140320963","150949","48",
"562688","Kristina Orbakaitė","123","4.226098155","150952","47","12817006"
"99245","The Parlor Mob","960","3.485648971","150953","44","108427"
"151760","Prince Fatty","6927","7.322467986","150960","44","638025"
"3426375","Grmmr.126",,"437.565217391","150960","46",
"1422453","Malena Villa","11","13.09856833","150961","46","1657409"
"435438","David Filio",,"18.149194518","150965","46",
"1136238","Navaan Sandhu",,"8.925860234","150972","46",
"425431","Todd Edwards","30690","11.467228678","150989","51","2482"
"1146666","Mergui",,"1.769255106","150990","48","71119122"
"1403216","Unread",,"303.200803213","150994","44",
"85281","Mikhail Glinka",,"19.340420082","151010","42",
"300213","Steve Murano","1640","181.514423077","151020","43",
"440545","Lucas Debargue",,"31.848165331","151024","43",
"340099","Inja","6119","18.705598216","151029","46","23885113"
"1367387","The Wynton Marsalis Quintet",,"2849.716981132","151035","38",
"432041","Bluetech","40248","2.931030468","151036","45","18098"
"210559","REMI","9741","5.87056903","151038","46","2696178"
"1528590","Irepelusa","219","11.189347359","151045","47","3847223"
"3893145","Sasha",,"48.834788231","151046","42","3964047"
"485006","Savuka",,"121.52775543","151059","45","81390"
"753497","David Lui",,"8.392755958","151078","46",
"397906","Ciaran McAuley","7829","30.707113821","151079","46",
"1017115","Bugoy Na Koykoy","523","1.605895046","151081","56","218316210"
"299149","Misha Omar","102","1.223297276","151087","47","15022281"
"90611","Majk",,"2.386872038","151089","49",
"317674","Arturo Coronel y el Buen Estilo",,"1.774549298","151094","46","135506"
"212370","Dylan Francis",,"63.517444304","151108","46",
"1068004","Crwsox",,"128.604255319","151110","41",
"423227","DJ Paul","7044","70.680074836","151114","45",
"596949","Sahir Ali Bagga",,"4.906558442","151122","48",
"1379666","Josephine",,"3.912746291","151122","48",
"1683199","Voodulce",,"487.493548387","151123","41",
"1657462","Nanda Lia",,"5.472053287","151160","46",
"434108","Giovanni Antonini",,"84.026125625","151163","52",
